RUN	scala.simulations.simulationPerros	simulationperros	1683836139226	 	3.3.1
USER	S_ObtenerListadoPerros	20	START	1683836144678	1683836144678
USER	S_ObtenerListadoPerros	21	START	1683836144694	1683836144694
USER	S_ObtenerListadoPerros	22	START	1683836144757	1683836144757
USER	S_ObtenerListadoPerros	23	START	1683836144789	1683836144789
USER	S_ObtenerListadoPerros	24	START	1683836144805	1683836144805
USER	S_ObtenerListadoPerros	25	START	1683836144809	1683836144809
USER	S_ObtenerListadoPerros	26	START	1683836144821	1683836144821
USER	S_ObtenerListadoPerros	27	START	1683836144852	1683836144852
REQUEST	17		R_ObtenerListadoPerros	1683836144602	1683836144910	OK	 
USER	S_ObtenerListadoPerros	17	END	1683836144600	1683836144912
REQUEST	18		R_ObtenerListadoPerros	1683836144620	1683836144935	OK	 
USER	S_ObtenerListadoPerros	18	END	1683836144619	1683836144937
USER	S_ObtenerListadoPerros	28	START	1683836144960	1683836144960
REQUEST	20		R_ObtenerListadoPerros	1683836144679	1683836144989	OK	 
USER	S_ObtenerListadoPerros	20	END	1683836144678	1683836144990
REQUEST	19		R_ObtenerListadoPerros	1683836144633	1683836145036	OK	 
USER	S_ObtenerListadoPerros	19	END	1683836144632	1683836145038
USER	S_ObtenerListadoPerros	29	START	1683836145053	1683836145053
REQUEST	22		R_ObtenerListadoPerros	1683836144758	1683836145058	OK	 
USER	S_ObtenerListadoPerros	22	END	1683836144757	1683836145059
REQUEST	23		R_ObtenerListadoPerros	1683836144790	1683836145079	OK	 
USER	S_ObtenerListadoPerros	23	END	1683836144789	1683836145080
REQUEST	21		R_ObtenerListadoPerros	1683836144695	1683836145110	OK	 
USER	S_ObtenerListadoPerros	21	END	1683836144694	1683836145111
REQUEST	26		R_ObtenerListadoPerros	1683836144821	1683836145120	OK	 
USER	S_ObtenerListadoPerros	26	END	1683836144821	1683836145122
REQUEST	27		R_ObtenerListadoPerros	1683836144853	1683836145162	OK	 
USER	S_ObtenerListadoPerros	27	END	1683836144852	1683836145164
USER	S_ObtenerListadoPerros	30	START	1683836145179	1683836145179
REQUEST	24		R_ObtenerListadoPerros	1683836144806	1683836145216	OK	 
USER	S_ObtenerListadoPerros	24	END	1683836144805	1683836145218
USER	S_ObtenerListadoPerros	31	START	1683836145225	1683836145225
REQUEST	25		R_ObtenerListadoPerros	1683836144810	1683836145250	OK	 
USER	S_ObtenerListadoPerros	25	END	1683836144809	1683836145251
REQUEST	28		R_ObtenerListadoPerros	1683836144961	1683836145260	OK	 
USER	S_ObtenerListadoPerros	28	END	1683836144960	1683836145261
USER	S_ObtenerListadoPerros	32	START	1683836145271	1683836145271
USER	S_ObtenerListadoPerros	33	START	1683836145287	1683836145287
USER	S_ObtenerListadoPerros	34	START	1683836145319	1683836145319
REQUEST	29		R_ObtenerListadoPerros	1683836145054	1683836145352	OK	 
USER	S_ObtenerListadoPerros	29	END	1683836145053	1683836145354
REQUEST	31		R_ObtenerListadoPerros	1683836145225	1683836145530	OK	 
USER	S_ObtenerListadoPerros	31	END	1683836145225	1683836145532
USER	S_ObtenerListadoPerros	37	START	1683836145551	1683836145551
USER	S_ObtenerListadoPerros	35	START	1683836145551	1683836145551
USER	S_ObtenerListadoPerros	36	START	1683836145551	1683836145551
REQUEST	32		R_ObtenerListadoPerros	1683836145272	1683836145564	OK	 
USER	S_ObtenerListadoPerros	32	END	1683836145271	1683836145566
REQUEST	30		R_ObtenerListadoPerros	1683836145180	1683836145581	OK	 
USER	S_ObtenerListadoPerros	30	END	1683836145179	1683836145582
REQUEST	33		R_ObtenerListadoPerros	1683836145288	1683836145597	OK	 
USER	S_ObtenerListadoPerros	33	END	1683836145287	1683836145599
REQUEST	34		R_ObtenerListadoPerros	1683836145319	1683836145631	OK	 
USER	S_ObtenerListadoPerros	34	END	1683836145319	1683836145633
REQUEST	35		R_ObtenerListadoPerros	1683836145552	1683836145864	OK	 
REQUEST	37		R_ObtenerListadoPerros	1683836145552	1683836145864	OK	 
USER	S_ObtenerListadoPerros	37	END	1683836145551	1683836145865
USER	S_ObtenerListadoPerros	35	END	1683836145551	1683836145865
USER	S_ObtenerListadoPerros	38	START	1683836145878	1683836145878
USER	S_ObtenerListadoPerros	40	START	1683836145910	1683836145910
USER	S_ObtenerListadoPerros	39	START	1683836145910	1683836145910
REQUEST	36		R_ObtenerListadoPerros	1683836145552	1683836145967	OK	 
USER	S_ObtenerListadoPerros	36	END	1683836145551	1683836145968
USER	S_ObtenerListadoPerros	41	START	1683836146017	1683836146017
USER	S_ObtenerListadoPerros	42	START	1683836146048	1683836146048
USER	S_ObtenerListadoPerros	43	START	1683836146064	1683836146064
USER	S_ObtenerListadoPerros	44	START	1683836146099	1683836146099
REQUEST	39		R_ObtenerListadoPerros	1683836145910	1683836146208	OK	 
USER	S_ObtenerListadoPerros	39	END	1683836145910	1683836146210
REQUEST	40		R_ObtenerListadoPerros	1683836145910	1683836146228	OK	 
USER	S_ObtenerListadoPerros	40	END	1683836145910	1683836146229
REQUEST	38		R_ObtenerListadoPerros	1683836145879	1683836146280	OK	 
USER	S_ObtenerListadoPerros	38	END	1683836145878	1683836146281
USER	S_ObtenerListadoPerros	45	START	1683836146299	1683836146299
USER	S_ObtenerListadoPerros	46	START	1683836146312	1683836146312
USER	S_ObtenerListadoPerros	47	START	1683836146343	1683836146343
REQUEST	41		R_ObtenerListadoPerros	1683836146017	1683836146343	OK	 
USER	S_ObtenerListadoPerros	41	END	1683836146017	1683836146344
REQUEST	42		R_ObtenerListadoPerros	1683836146049	1683836146352	OK	 
USER	S_ObtenerListadoPerros	42	END	1683836146048	1683836146353
REQUEST	43		R_ObtenerListadoPerros	1683836146064	1683836146368	OK	 
USER	S_ObtenerListadoPerros	43	END	1683836146064	1683836146369
REQUEST	44		R_ObtenerListadoPerros	1683836146100	1683836146403	OK	 
USER	S_ObtenerListadoPerros	44	END	1683836146099	1683836146404
USER	S_ObtenerListadoPerros	48	START	1683836146469	1683836146469
USER	S_ObtenerListadoPerros	49	START	1683836146562	1683836146562
REQUEST	45		R_ObtenerListadoPerros	1683836146300	1683836146605	OK	 
USER	S_ObtenerListadoPerros	45	END	1683836146299	1683836146607
REQUEST	46		R_ObtenerListadoPerros	1683836146312	1683836146623	OK	 
USER	S_ObtenerListadoPerros	46	END	1683836146312	1683836146624
REQUEST	47		R_ObtenerListadoPerros	1683836146343	1683836146650	OK	 
USER	S_ObtenerListadoPerros	47	END	1683836146343	1683836146652
REQUEST	48		R_ObtenerListadoPerros	1683836146471	1683836146772	OK	 
USER	S_ObtenerListadoPerros	48	END	1683836146469	1683836146773
USER	S_ObtenerListadoPerros	50	START	1683836146779	1683836146779
USER	S_ObtenerListadoPerros	51	START	1683836146859	1683836146859
REQUEST	49		R_ObtenerListadoPerros	1683836146563	1683836146868	OK	 
USER	S_ObtenerListadoPerros	49	END	1683836146562	1683836146870
REQUEST	50		R_ObtenerListadoPerros	1683836146780	1683836147085	OK	 
USER	S_ObtenerListadoPerros	50	END	1683836146779	1683836147087
USER	S_ObtenerListadoPerros	52	START	1683836147151	1683836147151
REQUEST	51		R_ObtenerListadoPerros	1683836146860	1683836147155	OK	 
USER	S_ObtenerListadoPerros	51	END	1683836146859	1683836147157
USER	S_ObtenerListadoPerros	53	START	1683836147199	1683836147199
USER	S_ObtenerListadoPerros	54	START	1683836147213	1683836147213
USER	S_ObtenerListadoPerros	55	START	1683836147399	1683836147399
REQUEST	52		R_ObtenerListadoPerros	1683836147152	1683836147459	OK	 
USER	S_ObtenerListadoPerros	52	END	1683836147151	1683836147461
REQUEST	53		R_ObtenerListadoPerros	1683836147200	1683836147507	OK	 
USER	S_ObtenerListadoPerros	53	END	1683836147199	1683836147508
REQUEST	54		R_ObtenerListadoPerros	1683836147214	1683836147512	OK	 
USER	S_ObtenerListadoPerros	54	END	1683836147213	1683836147513
USER	S_ObtenerListadoPerros	56	START	1683836147568	1683836147568
USER	S_ObtenerListadoPerros	58	START	1683836147569	1683836147569
USER	S_ObtenerListadoPerros	57	START	1683836147569	1683836147569
REQUEST	55		R_ObtenerListadoPerros	1683836147400	1683836147690	OK	 
USER	S_ObtenerListadoPerros	55	END	1683836147399	1683836147691
USER	S_ObtenerListadoPerros	59	START	1683836147691	1683836147691
USER	S_ObtenerListadoPerros	60	START	1683836147692	1683836147692
USER	S_ObtenerListadoPerros	61	START	1683836147783	1683836147783
USER	S_ObtenerListadoPerros	62	START	1683836147783	1683836147783
USER	S_ObtenerListadoPerros	63	START	1683836147799	1683836147799
USER	S_ObtenerListadoPerros	64	START	1683836147799	1683836147799
USER	S_ObtenerListadoPerros	65	START	1683836147815	1683836147815
USER	S_ObtenerListadoPerros	66	START	1683836147819	1683836147819
REQUEST	56		R_ObtenerListadoPerros	1683836147569	1683836147868	OK	 
USER	S_ObtenerListadoPerros	56	END	1683836147568	1683836147870
REQUEST	58		R_ObtenerListadoPerros	1683836147570	1683836147870	OK	 
USER	S_ObtenerListadoPerros	58	END	1683836147569	1683836147871
REQUEST	57		R_ObtenerListadoPerros	1683836147571	1683836147875	OK	 
USER	S_ObtenerListadoPerros	57	END	1683836147569	1683836147877
REQUEST	59		R_ObtenerListadoPerros	1683836147692	1683836148004	OK	 
REQUEST	60		R_ObtenerListadoPerros	1683836147692	1683836148004	OK	 
USER	S_ObtenerListadoPerros	59	END	1683836147691	1683836148006
USER	S_ObtenerListadoPerros	60	END	1683836147692	1683836148006
USER	S_ObtenerListadoPerros	67	START	1683836148031	1683836148031
REQUEST	61		R_ObtenerListadoPerros	1683836147783	1683836148081	OK	 
REQUEST	62		R_ObtenerListadoPerros	1683836147784	1683836148081	OK	 
USER	S_ObtenerListadoPerros	62	END	1683836147783	1683836148082
USER	S_ObtenerListadoPerros	61	END	1683836147783	1683836148082
REQUEST	63		R_ObtenerListadoPerros	1683836147800	1683836148088	OK	 
USER	S_ObtenerListadoPerros	63	END	1683836147799	1683836148089
REQUEST	64		R_ObtenerListadoPerros	1683836147800	1683836148112	OK	 
USER	S_ObtenerListadoPerros	64	END	1683836147799	1683836148114
REQUEST	65		R_ObtenerListadoPerros	1683836147816	1683836148118	OK	 
USER	S_ObtenerListadoPerros	65	END	1683836147815	1683836148120
REQUEST	66		R_ObtenerListadoPerros	1683836147820	1683836148121	OK	 
USER	S_ObtenerListadoPerros	66	END	1683836147819	1683836148122
USER	S_ObtenerListadoPerros	68	START	1683836148216	1683836148216
REQUEST	67		R_ObtenerListadoPerros	1683836148032	1683836148346	OK	 
USER	S_ObtenerListadoPerros	67	END	1683836148031	1683836148347
USER	S_ObtenerListadoPerros	69	START	1683836148370	1683836148370
USER	S_ObtenerListadoPerros	70	START	1683836148389	1683836148389
USER	S_ObtenerListadoPerros	71	START	1683836148419	1683836148419
REQUEST	68		R_ObtenerListadoPerros	1683836148217	1683836148511	OK	 
USER	S_ObtenerListadoPerros	68	END	1683836148216	1683836148512
USER	S_ObtenerListadoPerros	72	START	1683836148589	1683836148589
REQUEST	69		R_ObtenerListadoPerros	1683836148370	1683836148676	OK	 
USER	S_ObtenerListadoPerros	69	END	1683836148370	1683836148678
REQUEST	70		R_ObtenerListadoPerros	1683836148390	1683836148693	OK	 
USER	S_ObtenerListadoPerros	70	END	1683836148389	1683836148694
REQUEST	71		R_ObtenerListadoPerros	1683836148420	1683836148707	OK	 
USER	S_ObtenerListadoPerros	71	END	1683836148419	1683836148709
USER	S_ObtenerListadoPerros	73	START	1683836148772	1683836148772
USER	S_ObtenerListadoPerros	74	START	1683836148787	1683836148787
USER	S_ObtenerListadoPerros	75	START	1683836148817	1683836148817
REQUEST	72		R_ObtenerListadoPerros	1683836148590	1683836148891	OK	 
USER	S_ObtenerListadoPerros	72	END	1683836148589	1683836148892
USER	S_ObtenerListadoPerros	76	START	1683836148956	1683836148956
REQUEST	73		R_ObtenerListadoPerros	1683836148773	1683836149082	OK	 
USER	S_ObtenerListadoPerros	73	END	1683836148772	1683836149083
REQUEST	74		R_ObtenerListadoPerros	1683836148787	1683836149097	OK	 
USER	S_ObtenerListadoPerros	77	START	1683836149097	1683836149097
USER	S_ObtenerListadoPerros	74	END	1683836148787	1683836149098
USER	S_ObtenerListadoPerros	78	START	1683836149113	1683836149113
REQUEST	75		R_ObtenerListadoPerros	1683836148818	1683836149215	OK	 
USER	S_ObtenerListadoPerros	75	END	1683836148817	1683836149216
USER	S_ObtenerListadoPerros	79	START	1683836149221	1683836149221
REQUEST	76		R_ObtenerListadoPerros	1683836148956	1683836149267	OK	 
USER	S_ObtenerListadoPerros	76	END	1683836148956	1683836149269
USER	S_ObtenerListadoPerros	80	START	1683836149300	1683836149300
USER	S_ObtenerListadoPerros	81	START	1683836149315	1683836149315
REQUEST	77		R_ObtenerListadoPerros	1683836149098	1683836149409	OK	 
USER	S_ObtenerListadoPerros	77	END	1683836149097	1683836149411
REQUEST	78		R_ObtenerListadoPerros	1683836149113	1683836149416	OK	 
USER	S_ObtenerListadoPerros	78	END	1683836149113	1683836149417
USER	S_ObtenerListadoPerros	82	START	1683836149440	1683836149440
USER	S_ObtenerListadoPerros	83	START	1683836149471	1683836149471
REQUEST	79		R_ObtenerListadoPerros	1683836149222	1683836149544	OK	 
USER	S_ObtenerListadoPerros	79	END	1683836149221	1683836149545
REQUEST	80		R_ObtenerListadoPerros	1683836149301	1683836149600	OK	 
USER	S_ObtenerListadoPerros	80	END	1683836149300	1683836149600
REQUEST	81		R_ObtenerListadoPerros	1683836149316	1683836149611	OK	 
USER	S_ObtenerListadoPerros	81	END	1683836149315	1683836149613
REQUEST	82		R_ObtenerListadoPerros	1683836149441	1683836149767	OK	 
USER	S_ObtenerListadoPerros	82	END	1683836149440	1683836149769
USER	S_ObtenerListadoPerros	84	START	1683836149778	1683836149778
REQUEST	83		R_ObtenerListadoPerros	1683836149472	1683836149788	OK	 
USER	S_ObtenerListadoPerros	83	END	1683836149471	1683836149789
USER	S_ObtenerListadoPerros	85	START	1683836149856	1683836149856
USER	S_ObtenerListadoPerros	86	START	1683836149872	1683836149872
USER	S_ObtenerListadoPerros	87	START	1683836149888	1683836149888
USER	S_ObtenerListadoPerros	88	START	1683836150089	1683836150089
REQUEST	84		R_ObtenerListadoPerros	1683836149779	1683836150109	OK	 
USER	S_ObtenerListadoPerros	84	END	1683836149778	1683836150111
USER	S_ObtenerListadoPerros	89	START	1683836150135	1683836150135
REQUEST	85		R_ObtenerListadoPerros	1683836149857	1683836150156	OK	 
USER	S_ObtenerListadoPerros	85	END	1683836149856	1683836150157
REQUEST	87		R_ObtenerListadoPerros	1683836149888	1683836150184	OK	 
REQUEST	86		R_ObtenerListadoPerros	1683836149873	1683836150184	OK	 
USER	S_ObtenerListadoPerros	86	END	1683836149872	1683836150185
USER	S_ObtenerListadoPerros	87	END	1683836149888	1683836150186
USER	S_ObtenerListadoPerros	90	START	1683836150212	1683836150212
REQUEST	88		R_ObtenerListadoPerros	1683836150090	1683836150406	OK	 
USER	S_ObtenerListadoPerros	88	END	1683836150089	1683836150407
USER	S_ObtenerListadoPerros	91	START	1683836150415	1683836150415
REQUEST	89		R_ObtenerListadoPerros	1683836150136	1683836150435	OK	 
USER	S_ObtenerListadoPerros	89	END	1683836150135	1683836150436
REQUEST	90		R_ObtenerListadoPerros	1683836150213	1683836150511	OK	 
USER	S_ObtenerListadoPerros	90	END	1683836150212	1683836150512
USER	S_ObtenerListadoPerros	92	START	1683836150586	1683836150586
REQUEST	91		R_ObtenerListadoPerros	1683836150416	1683836150807	OK	 
USER	S_ObtenerListadoPerros	91	END	1683836150415	1683836150808
USER	S_ObtenerListadoPerros	93	START	1683836151006	1683836151006
REQUEST	92		R_ObtenerListadoPerros	1683836150587	1683836151029	OK	 
USER	S_ObtenerListadoPerros	92	END	1683836150586	1683836151030
USER	S_ObtenerListadoPerros	94	START	1683836151069	1683836151069
USER	S_ObtenerListadoPerros	95	START	1683836151166	1683836151166
USER	S_ObtenerListadoPerros	96	START	1683836151255	1683836151255
REQUEST	93		R_ObtenerListadoPerros	1683836151007	1683836151333	OK	 
USER	S_ObtenerListadoPerros	93	END	1683836151006	1683836151334
REQUEST	94		R_ObtenerListadoPerros	1683836151070	1683836151365	OK	 
USER	S_ObtenerListadoPerros	94	END	1683836151069	1683836151367
USER	S_ObtenerListadoPerros	97	START	1683836151501	1683836151501
USER	S_ObtenerListadoPerros	98	START	1683836151532	1683836151532
REQUEST	96		R_ObtenerListadoPerros	1683836151256	1683836151558	OK	 
USER	S_ObtenerListadoPerros	96	END	1683836151255	1683836151559
REQUEST	95		R_ObtenerListadoPerros	1683836151167	1683836151585	OK	 
USER	S_ObtenerListadoPerros	95	END	1683836151166	1683836151587
USER	S_ObtenerListadoPerros	99	START	1683836151593	1683836151593
USER	S_ObtenerListadoPerros	100	START	1683836151659	1683836151659
USER	S_ObtenerListadoPerros	101	START	1683836151671	1683836151671
USER	S_ObtenerListadoPerros	102	START	1683836151793	1683836151793
REQUEST	97		R_ObtenerListadoPerros	1683836151502	1683836151815	OK	 
USER	S_ObtenerListadoPerros	97	END	1683836151501	1683836151816
REQUEST	99		R_ObtenerListadoPerros	1683836151594	1683836151902	OK	 
USER	S_ObtenerListadoPerros	99	END	1683836151593	1683836151904
REQUEST	98		R_ObtenerListadoPerros	1683836151533	1683836151961	OK	 
USER	S_ObtenerListadoPerros	98	END	1683836151532	1683836151962
REQUEST	100		R_ObtenerListadoPerros	1683836151660	1683836151967	OK	 
USER	S_ObtenerListadoPerros	100	END	1683836151659	1683836151968
REQUEST	101		R_ObtenerListadoPerros	1683836151671	1683836151974	OK	 
USER	S_ObtenerListadoPerros	101	END	1683836151671	1683836151976
REQUEST	102		R_ObtenerListadoPerros	1683836151793	1683836152105	OK	 
USER	S_ObtenerListadoPerros	102	END	1683836151793	1683836152106
USER	S_ObtenerListadoPerros	103	START	1683836152134	1683836152134
USER	S_ObtenerListadoPerros	104	START	1683836152165	1683836152165
USER	S_ObtenerListadoPerros	105	START	1683836152180	1683836152180
USER	S_ObtenerListadoPerros	106	START	1683836152339	1683836152339
USER	S_ObtenerListadoPerros	108	START	1683836152381	1683836152381
USER	S_ObtenerListadoPerros	107	START	1683836152381	1683836152381
REQUEST	103		R_ObtenerListadoPerros	1683836152135	1683836152439	OK	 
USER	S_ObtenerListadoPerros	103	END	1683836152134	1683836152440
USER	S_ObtenerListadoPerros	109	START	1683836152442	1683836152442
REQUEST	104		R_ObtenerListadoPerros	1683836152166	1683836152483	OK	 
REQUEST	105		R_ObtenerListadoPerros	1683836152181	1683836152484	OK	 
USER	S_ObtenerListadoPerros	104	END	1683836152165	1683836152485
USER	S_ObtenerListadoPerros	105	END	1683836152180	1683836152485
USER	S_ObtenerListadoPerros	110	START	1683836152505	1683836152505
USER	S_ObtenerListadoPerros	111	START	1683836152536	1683836152536
USER	S_ObtenerListadoPerros	112	START	1683836152566	1683836152566
REQUEST	106		R_ObtenerListadoPerros	1683836152340	1683836152632	OK	 
USER	S_ObtenerListadoPerros	106	END	1683836152339	1683836152633
USER	S_ObtenerListadoPerros	113	START	1683836152659	1683836152659
REQUEST	108		R_ObtenerListadoPerros	1683836152381	1683836152669	OK	 
USER	S_ObtenerListadoPerros	108	END	1683836152381	1683836152670
USER	S_ObtenerListadoPerros	114	START	1683836152690	1683836152690
USER	S_ObtenerListadoPerros	117	START	1683836152691	1683836152691
USER	S_ObtenerListadoPerros	115	START	1683836152691	1683836152691
USER	S_ObtenerListadoPerros	116	START	1683836152691	1683836152691
REQUEST	107		R_ObtenerListadoPerros	1683836152381	1683836152700	OK	 
USER	S_ObtenerListadoPerros	107	END	1683836152381	1683836152701
USER	S_ObtenerListadoPerros	118	START	1683836152769	1683836152769
REQUEST	110		R_ObtenerListadoPerros	1683836152505	1683836152817	OK	 
USER	S_ObtenerListadoPerros	110	END	1683836152505	1683836152818
REQUEST	111		R_ObtenerListadoPerros	1683836152536	1683836152832	OK	 
USER	S_ObtenerListadoPerros	111	END	1683836152536	1683836152833
USER	S_ObtenerListadoPerros	119	START	1683836152844	1683836152844
USER	S_ObtenerListadoPerros	120	START	1683836152844	1683836152844
USER	S_ObtenerListadoPerros	121	START	1683836152860	1683836152860
REQUEST	109		R_ObtenerListadoPerros	1683836152443	1683836152861	OK	 
USER	S_ObtenerListadoPerros	109	END	1683836152442	1683836152861
REQUEST	112		R_ObtenerListadoPerros	1683836152567	1683836152874	OK	 
USER	S_ObtenerListadoPerros	112	END	1683836152566	1683836152875
USER	S_ObtenerListadoPerros	122	START	1683836152939	1683836152939
REQUEST	113		R_ObtenerListadoPerros	1683836152660	1683836152967	OK	 
USER	S_ObtenerListadoPerros	113	END	1683836152659	1683836152968
USER	S_ObtenerListadoPerros	123	START	1683836152985	1683836152985
REQUEST	115		R_ObtenerListadoPerros	1683836152692	1683836152997	OK	 
USER	S_ObtenerListadoPerros	115	END	1683836152691	1683836152999
REQUEST	117		R_ObtenerListadoPerros	1683836152692	1683836153002	OK	 
USER	S_ObtenerListadoPerros	117	END	1683836152691	1683836153003
REQUEST	114		R_ObtenerListadoPerros	1683836152692	1683836153004	OK	 
USER	S_ObtenerListadoPerros	114	END	1683836152690	1683836153005
USER	S_ObtenerListadoPerros	124	START	1683836153077	1683836153077
REQUEST	118		R_ObtenerListadoPerros	1683836152770	1683836153085	OK	 
USER	S_ObtenerListadoPerros	118	END	1683836152769	1683836153087
REQUEST	116		R_ObtenerListadoPerros	1683836152692	1683836153105	OK	 
USER	S_ObtenerListadoPerros	116	END	1683836152691	1683836153106
USER	S_ObtenerListadoPerros	125	START	1683836153140	1683836153140
REQUEST	120		R_ObtenerListadoPerros	1683836152845	1683836153145	OK	 
USER	S_ObtenerListadoPerros	120	END	1683836152844	1683836153146
REQUEST	119		R_ObtenerListadoPerros	1683836152845	1683836153151	OK	 
USER	S_ObtenerListadoPerros	119	END	1683836152844	1683836153152
REQUEST	121		R_ObtenerListadoPerros	1683836152861	1683836153186	OK	 
USER	S_ObtenerListadoPerros	121	END	1683836152860	1683836153187
USER	S_ObtenerListadoPerros	126	START	1683836153218	1683836153218
REQUEST	122		R_ObtenerListadoPerros	1683836152940	1683836153237	OK	 
USER	S_ObtenerListadoPerros	122	END	1683836152939	1683836153238
USER	S_ObtenerListadoPerros	127	START	1683836153280	1683836153280
REQUEST	123		R_ObtenerListadoPerros	1683836152986	1683836153386	OK	 
USER	S_ObtenerListadoPerros	123	END	1683836152985	1683836153387
REQUEST	124		R_ObtenerListadoPerros	1683836153078	1683836153388	OK	 
USER	S_ObtenerListadoPerros	124	END	1683836153077	1683836153389
REQUEST	125		R_ObtenerListadoPerros	1683836153141	1683836153438	OK	 
USER	S_ObtenerListadoPerros	125	END	1683836153140	1683836153439
USER	S_ObtenerListadoPerros	128	START	1683836153495	1683836153495
REQUEST	126		R_ObtenerListadoPerros	1683836153220	1683836153524	OK	 
USER	S_ObtenerListadoPerros	126	END	1683836153218	1683836153526
REQUEST	127		R_ObtenerListadoPerros	1683836153281	1683836153588	OK	 
USER	S_ObtenerListadoPerros	127	END	1683836153280	1683836153590
USER	S_ObtenerListadoPerros	129	START	1683836153589	1683836153589
USER	S_ObtenerListadoPerros	130	START	1683836153635	1683836153635
REQUEST	128		R_ObtenerListadoPerros	1683836153496	1683836153803	OK	 
USER	S_ObtenerListadoPerros	128	END	1683836153495	1683836153806
REQUEST	129		R_ObtenerListadoPerros	1683836153590	1683836153886	OK	 
USER	S_ObtenerListadoPerros	129	END	1683836153589	1683836153888
USER	S_ObtenerListadoPerros	131	START	1683836153899	1683836153899
USER	S_ObtenerListadoPerros	132	START	1683836153919	1683836153919
REQUEST	130		R_ObtenerListadoPerros	1683836153635	1683836153940	OK	 
USER	S_ObtenerListadoPerros	130	END	1683836153635	1683836153941
USER	S_ObtenerListadoPerros	133	START	1683836153979	1683836153979
USER	S_ObtenerListadoPerros	134	START	1683836154056	1683836154056
USER	S_ObtenerListadoPerros	135	START	1683836154103	1683836154103
USER	S_ObtenerListadoPerros	136	START	1683836154139	1683836154139
REQUEST	131		R_ObtenerListadoPerros	1683836153900	1683836154212	OK	 
USER	S_ObtenerListadoPerros	131	END	1683836153899	1683836154213
