RUN	scala.simulations.simulation_1	simulation-1	1683748221530	prueba5	3.3.1
REQUEST	7		Obtener_Todos_Los_Perros	1683748223380	1683748224579	OK	 
USER	Obtene todos los perros	7	END	1683748223379	1683748224580
REQUEST	8		Obtener_Todos_Los_Perros	1683748223447	1683748224592	OK	 
USER	Obtene todos los perros	8	END	1683748223447	1683748224594
USER	Obtene todos los perros	23	START	1683748224666	1683748224666
USER	Obtene todos los perros	24	START	1683748224748	1683748224748
REQUEST	19		Obtener_Todos_Los_Perros	1683748224332	1683748224803	OK	 
USER	Obtene todos los perros	19	END	1683748224332	1683748224804
REQUEST	20		Obtener_Todos_Los_Perros	1683748224420	1683748224822	OK	 
USER	Obtene todos los perros	20	END	1683748224419	1683748224823
USER	Obtene todos los perros	25	START	1683748224825	1683748224825
USER	Obtene todos los perros	26	START	1683748224936	1683748224936
REQUEST	23		Obtener_Todos_Los_Perros	1683748224667	1683748224971	OK	 
USER	Obtene todos los perros	23	END	1683748224666	1683748224972
REQUEST	22		Obtener_Todos_Los_Perros	1683748224579	1683748224983	OK	 
USER	Obtene todos los perros	22	END	1683748224578	1683748224984
USER	Obtene todos los perros	27	START	1683748224998	1683748224998
REQUEST	24		Obtener_Todos_Los_Perros	1683748224749	1683748225037	OK	 
USER	Obtene todos los perros	24	END	1683748224748	1683748225038
USER	Obtene todos los perros	28	START	1683748225076	1683748225076
REQUEST	11		Obtener_Todos_Los_Perros	1683748223677	1683748225078	OK	 
USER	Obtene todos los perros	11	END	1683748223676	1683748225079
REQUEST	25		Obtener_Todos_Los_Perros	1683748224825	1683748225125	OK	 
USER	Obtene todos los perros	25	END	1683748224825	1683748225127
USER	Obtene todos los perros	29	START	1683748225156	1683748225156
USER	Obtene todos los perros	30	START	1683748225230	1683748225230
REQUEST	26		Obtener_Todos_Los_Perros	1683748224937	1683748225247	OK	 
USER	Obtene todos los perros	26	END	1683748224936	1683748225249
USER	Obtene todos los perros	31	START	1683748225308	1683748225308
USER	Obtene todos los perros	32	START	1683748225388	1683748225388
REQUEST	29		Obtener_Todos_Los_Perros	1683748225156	1683748225456	OK	 
USER	Obtene todos los perros	29	END	1683748225156	1683748225457
USER	Obtene todos los perros	33	START	1683748225457	1683748225457
REQUEST	30		Obtener_Todos_Los_Perros	1683748225231	1683748225530	OK	 
USER	Obtene todos los perros	30	END	1683748225230	1683748225531
USER	Obtene todos los perros	34	START	1683748225536	1683748225536
REQUEST	17		Obtener_Todos_Los_Perros	1683748224165	1683748225588	OK	 
USER	Obtene todos los perros	17	END	1683748224165	1683748225589
USER	Obtene todos los perros	35	START	1683748225615	1683748225615
REQUEST	31		Obtener_Todos_Los_Perros	1683748225309	1683748225630	OK	 
USER	Obtene todos los perros	31	END	1683748225308	1683748225631
REQUEST	21		Obtener_Todos_Los_Perros	1683748224501	1683748225633	OK	 
USER	Obtene todos los perros	21	END	1683748224500	1683748225634
REQUEST	32		Obtener_Todos_Los_Perros	1683748225390	1683748225693	OK	 
USER	Obtene todos los perros	32	END	1683748225388	1683748225694
USER	Obtene todos los perros	36	START	1683748225699	1683748225699
USER	Obtene todos los perros	37	START	1683748225767	1683748225767
REQUEST	28		Obtener_Todos_Los_Perros	1683748225077	1683748225805	OK	 
USER	Obtene todos los perros	28	END	1683748225076	1683748225807
USER	Obtene todos los perros	38	START	1683748225846	1683748225846
REQUEST	34		Obtener_Todos_Los_Perros	1683748225537	1683748225854	OK	 
USER	Obtene todos los perros	34	END	1683748225536	1683748225855
USER	Obtene todos los perros	39	START	1683748225925	1683748225925
REQUEST	36		Obtener_Todos_Los_Perros	1683748225700	1683748225995	OK	 
USER	Obtene todos los perros	36	END	1683748225699	1683748225995
USER	Obtene todos los perros	40	START	1683748226008	1683748226008
USER	Obtene todos los perros	41	START	1683748226087	1683748226087
REQUEST	27		Obtener_Todos_Los_Perros	1683748224999	1683748226133	OK	 
USER	Obtene todos los perros	27	END	1683748224998	1683748226135
REQUEST	38		Obtener_Todos_Los_Perros	1683748225847	1683748226141	OK	 
USER	Obtene todos los perros	38	END	1683748225846	1683748226142
REQUEST	37		Obtener_Todos_Los_Perros	1683748225768	1683748226174	OK	 
USER	Obtene todos los perros	37	END	1683748225767	1683748226175
USER	Obtene todos los perros	42	START	1683748226175	1683748226175
USER	Obtene todos los perros	43	START	1683748226259	1683748226259
REQUEST	40		Obtener_Todos_Los_Perros	1683748226008	1683748226331	OK	 
USER	Obtene todos los perros	40	END	1683748226008	1683748226332
USER	Obtene todos los perros	44	START	1683748226339	1683748226339
REQUEST	39		Obtener_Todos_Los_Perros	1683748225926	1683748226341	OK	 
USER	Obtene todos los perros	39	END	1683748225925	1683748226343
REQUEST	41		Obtener_Todos_Los_Perros	1683748226088	1683748226388	OK	 
USER	Obtene todos los perros	41	END	1683748226087	1683748226389
USER	Obtene todos los perros	45	START	1683748226429	1683748226429
USER	Obtene todos los perros	46	START	1683748226506	1683748226506
REQUEST	43		Obtener_Todos_Los_Perros	1683748226260	1683748226554	OK	 
USER	Obtene todos los perros	43	END	1683748226259	1683748226555
USER	Obtene todos los perros	47	START	1683748226589	1683748226589
USER	Obtene todos los perros	48	START	1683748226678	1683748226678
REQUEST	33		Obtener_Todos_Los_Perros	1683748225457	1683748226688	OK	 
USER	Obtene todos los perros	33	END	1683748225457	1683748226689
REQUEST	45		Obtener_Todos_Los_Perros	1683748226430	1683748226750	OK	 
USER	Obtene todos los perros	45	END	1683748226429	1683748226751
REQUEST	44		Obtener_Todos_Los_Perros	1683748226339	1683748226757	OK	 
USER	Obtene todos los perros	49	START	1683748226757	1683748226757
USER	Obtene todos los perros	44	END	1683748226339	1683748226758
USER	Obtene todos los perros	50	START	1683748226838	1683748226838
REQUEST	35		Obtener_Todos_Los_Perros	1683748225616	1683748226853	OK	 
USER	Obtene todos los perros	35	END	1683748225615	1683748226854
REQUEST	47		Obtener_Todos_Los_Perros	1683748226590	1683748226871	OK	 
USER	Obtene todos los perros	47	END	1683748226589	1683748226873
USER	Obtene todos los perros	51	START	1683748226928	1683748226928
REQUEST	48		Obtener_Todos_Los_Perros	1683748226678	1683748226966	OK	 
USER	Obtene todos los perros	48	END	1683748226678	1683748226968
REQUEST	42		Obtener_Todos_Los_Perros	1683748226175	1683748226986	OK	 
USER	Obtene todos los perros	42	END	1683748226175	1683748226987
USER	Obtene todos los perros	52	START	1683748226998	1683748226998
REQUEST	49		Obtener_Todos_Los_Perros	1683748226757	1683748227065	OK	 
USER	Obtene todos los perros	49	END	1683748226757	1683748227065
USER	Obtene todos los perros	53	START	1683748227077	1683748227077
REQUEST	50		Obtener_Todos_Los_Perros	1683748226839	1683748227134	OK	 
USER	Obtene todos los perros	50	END	1683748226838	1683748227135
USER	Obtene todos los perros	54	START	1683748227147	1683748227147
REQUEST	51		Obtener_Todos_Los_Perros	1683748226929	1683748227221	OK	 
USER	Obtene todos los perros	51	END	1683748226928	1683748227222
USER	Obtene todos los perros	55	START	1683748227226	1683748227226
REQUEST	52		Obtener_Todos_Los_Perros	1683748226999	1683748227308	OK	 
USER	Obtene todos los perros	52	END	1683748226998	1683748227310
USER	Obtene todos los perros	56	START	1683748227310	1683748227310
USER	Obtene todos los perros	57	START	1683748227387	1683748227387
USER	Obtene todos los perros	58	START	1683748227459	1683748227459
USER	Obtene todos los perros	59	START	1683748227539	1683748227539
REQUEST	54		Obtener_Todos_Los_Perros	1683748227147	1683748227594	OK	 
USER	Obtene todos los perros	54	END	1683748227147	1683748227595
REQUEST	56		Obtener_Todos_Los_Perros	1683748227311	1683748227609	OK	 
USER	Obtene todos los perros	56	END	1683748227310	1683748227610
REQUEST	55		Obtener_Todos_Los_Perros	1683748227227	1683748227616	OK	 
USER	Obtene todos los perros	55	END	1683748227226	1683748227618
USER	Obtene todos los perros	60	START	1683748227618	1683748227618
USER	Obtene todos los perros	61	START	1683748227686	1683748227686
USER	Obtene todos los perros	62	START	1683748227765	1683748227765
REQUEST	58		Obtener_Todos_Los_Perros	1683748227459	1683748227772	OK	 
USER	Obtene todos los perros	58	END	1683748227459	1683748227773
REQUEST	46		Obtener_Todos_Los_Perros	1683748226507	1683748227807	OK	 
USER	Obtene todos los perros	46	END	1683748226506	1683748227808
REQUEST	59		Obtener_Todos_Los_Perros	1683748227540	1683748227825	OK	 
USER	Obtene todos los perros	59	END	1683748227539	1683748227826
USER	Obtene todos los perros	63	START	1683748227845	1683748227845
USER	Obtene todos los perros	64	START	1683748227919	1683748227919
REQUEST	61		Obtener_Todos_Los_Perros	1683748227687	1683748227994	OK	 
USER	Obtene todos los perros	61	END	1683748227686	1683748227996
USER	Obtene todos los perros	65	START	1683748228009	1683748228009
USER	Obtene todos los perros	66	START	1683748228089	1683748228089
REQUEST	63		Obtener_Todos_Los_Perros	1683748227846	1683748228146	OK	 
USER	Obtene todos los perros	63	END	1683748227845	1683748228147
USER	Obtene todos los perros	67	START	1683748228170	1683748228170
REQUEST	53		Obtener_Todos_Los_Perros	1683748227077	1683748228224	OK	 
USER	Obtene todos los perros	53	END	1683748227077	1683748228225
USER	Obtene todos los perros	68	START	1683748228259	1683748228259
REQUEST	65		Obtener_Todos_Los_Perros	1683748228010	1683748228310	OK	 
USER	Obtene todos los perros	65	END	1683748228009	1683748228311
REQUEST	64		Obtener_Todos_Los_Perros	1683748227920	1683748228319	OK	 
USER	Obtene todos los perros	64	END	1683748227919	1683748228319
USER	Obtene todos los perros	69	START	1683748228340	1683748228340
REQUEST	66		Obtener_Todos_Los_Perros	1683748228090	1683748228396	OK	 
USER	Obtene todos los perros	66	END	1683748228089	1683748228398
USER	Obtene todos los perros	70	START	1683748228418	1683748228418
REQUEST	67		Obtener_Todos_Los_Perros	1683748228171	1683748228476	OK	 
USER	Obtene todos los perros	67	END	1683748228170	1683748228477
REQUEST	57		Obtener_Todos_Los_Perros	1683748227388	1683748228501	OK	 
USER	Obtene todos los perros	57	END	1683748227387	1683748228502
REQUEST	60		Obtener_Todos_Los_Perros	1683748227618	1683748228504	OK	 
USER	Obtene todos los perros	60	END	1683748227618	1683748228505
USER	Obtene todos los perros	71	START	1683748228508	1683748228508
REQUEST	68		Obtener_Todos_Los_Perros	1683748228260	1683748228553	OK	 
USER	Obtene todos los perros	68	END	1683748228259	1683748228554
USER	Obtene todos los perros	72	START	1683748228588	1683748228588
USER	Obtene todos los perros	73	START	1683748228667	1683748228667
REQUEST	70		Obtener_Todos_Los_Perros	1683748228418	1683748228703	OK	 
USER	Obtene todos los perros	70	END	1683748228418	1683748228705
USER	Obtene todos los perros	74	START	1683748228758	1683748228758
USER	Obtene todos los perros	75	START	1683748228838	1683748228838
REQUEST	62		Obtener_Todos_Los_Perros	1683748227766	1683748228895	OK	 
USER	Obtene todos los perros	62	END	1683748227765	1683748228896
USER	Obtene todos los perros	76	START	1683748228918	1683748228918
REQUEST	73		Obtener_Todos_Los_Perros	1683748228668	1683748228978	OK	 
USER	Obtene todos los perros	73	END	1683748228667	1683748228979
USER	Obtene todos los perros	77	START	1683748228996	1683748228996
REQUEST	74		Obtener_Todos_Los_Perros	1683748228759	1683748229063	OK	 
USER	Obtene todos los perros	74	END	1683748228758	1683748229064
USER	Obtene todos los perros	78	START	1683748229077	1683748229077
REQUEST	69		Obtener_Todos_Los_Perros	1683748228340	1683748229131	OK	 
USER	Obtene todos los perros	69	END	1683748228340	1683748229133
REQUEST	75		Obtener_Todos_Los_Perros	1683748228839	1683748229148	OK	 
USER	Obtene todos los perros	75	END	1683748228838	1683748229150
USER	Obtene todos los perros	79	START	1683748229151	1683748229151
REQUEST	76		Obtener_Todos_Los_Perros	1683748228919	1683748229213	OK	 
USER	Obtene todos los perros	76	END	1683748228918	1683748229214
USER	Obtene todos los perros	80	START	1683748229229	1683748229229
USER	Obtene todos los perros	81	START	1683748229307	1683748229307
USER	Obtene todos los perros	82	START	1683748229385	1683748229385
USER	Obtene todos los perros	83	START	1683748229459	1683748229459
USER	Obtene todos los perros	84	START	1683748229536	1683748229536
REQUEST	80		Obtener_Todos_Los_Perros	1683748229230	1683748229539	OK	 
USER	Obtene todos los perros	80	END	1683748229229	1683748229540
REQUEST	81		Obtener_Todos_Los_Perros	1683748229308	1683748229603	OK	 
USER	Obtene todos los perros	81	END	1683748229307	1683748229605
USER	Obtene todos los perros	85	START	1683748229616	1683748229616
REQUEST	72		Obtener_Todos_Los_Perros	1683748228589	1683748229660	OK	 
USER	Obtene todos los perros	72	END	1683748228588	1683748229661
USER	Obtene todos los perros	86	START	1683748229685	1683748229685
REQUEST	82		Obtener_Todos_Los_Perros	1683748229386	1683748229691	OK	 
USER	Obtene todos los perros	82	END	1683748229385	1683748229691
USER	Obtene todos los perros	87	START	1683748229768	1683748229768
REQUEST	83		Obtener_Todos_Los_Perros	1683748229459	1683748229768	OK	 
USER	Obtene todos los perros	83	END	1683748229459	1683748229770
REQUEST	71		Obtener_Todos_Los_Perros	1683748228509	1683748229781	OK	 
USER	Obtene todos los perros	71	END	1683748228508	1683748229783
REQUEST	77		Obtener_Todos_Los_Perros	1683748228997	1683748229831	OK	 
USER	Obtene todos los perros	77	END	1683748228996	1683748229832
USER	Obtene todos los perros	88	START	1683748229846	1683748229846
REQUEST	84		Obtener_Todos_Los_Perros	1683748229536	1683748229853	OK	 
USER	Obtene todos los perros	84	END	1683748229536	1683748229855
USER	Obtene todos los perros	89	START	1683748229920	1683748229920
REQUEST	79		Obtener_Todos_Los_Perros	1683748229151	1683748229979	OK	 
USER	Obtene todos los perros	79	END	1683748229151	1683748229980
REQUEST	86		Obtener_Todos_Los_Perros	1683748229686	1683748229991	OK	 
USER	Obtene todos los perros	86	END	1683748229685	1683748229992
USER	Obtene todos los perros	90	START	1683748229999	1683748229999
REQUEST	87		Obtener_Todos_Los_Perros	1683748229769	1683748230068	OK	 
USER	Obtene todos los perros	87	END	1683748229768	1683748230069
USER	Obtene todos los perros	91	START	1683748230079	1683748230079
REQUEST	88		Obtener_Todos_Los_Perros	1683748229847	1683748230143	OK	 
USER	Obtene todos los perros	88	END	1683748229846	1683748230145
USER	Obtene todos los perros	92	START	1683748230157	1683748230157
REQUEST	78		Obtener_Todos_Los_Perros	1683748229077	1683748230182	OK	 
USER	Obtene todos los perros	78	END	1683748229077	1683748230183
REQUEST	85		Obtener_Todos_Los_Perros	1683748229617	1683748230184	OK	 
USER	Obtene todos los perros	85	END	1683748229616	1683748230185
USER	Obtene todos los perros	93	START	1683748230246	1683748230246
REQUEST	90		Obtener_Todos_Los_Perros	1683748230000	1683748230323	OK	 
USER	Obtene todos los perros	90	END	1683748229999	1683748230323
USER	Obtene todos los perros	94	START	1683748230330	1683748230330
USER	Obtene todos los perros	95	START	1683748230408	1683748230408
REQUEST	92		Obtener_Todos_Los_Perros	1683748230157	1683748230466	OK	 
USER	Obtene todos los perros	92	END	1683748230157	1683748230466
USER	Obtene todos los perros	96	START	1683748230497	1683748230497
USER	Obtene todos los perros	97	START	1683748230580	1683748230580
REQUEST	93		Obtener_Todos_Los_Perros	1683748230247	1683748230638	OK	 
USER	Obtene todos los perros	93	END	1683748230246	1683748230639
REQUEST	94		Obtener_Todos_Los_Perros	1683748230330	1683748230645	OK	 
USER	Obtene todos los perros	94	END	1683748230330	1683748230646
USER	Obtene todos los perros	98	START	1683748230655	1683748230655
USER	Obtene todos los perros	99	START	1683748230748	1683748230748
REQUEST	96		Obtener_Todos_Los_Perros	1683748230497	1683748230804	OK	 
USER	Obtene todos los perros	96	END	1683748230497	1683748230805
USER	Obtene todos los perros	100	START	1683748230828	1683748230828
REQUEST	97		Obtener_Todos_Los_Perros	1683748230580	1683748230872	OK	 
USER	Obtene todos los perros	97	END	1683748230580	1683748230873
USER	Obtene todos los perros	101	START	1683748230905	1683748230905
REQUEST	98		Obtener_Todos_Los_Perros	1683748230656	1683748230971	OK	 
USER	Obtene todos los perros	98	END	1683748230655	1683748230972
USER	Obtene todos los perros	102	START	1683748230996	1683748230996
REQUEST	89		Obtener_Todos_Los_Perros	1683748229921	1683748231007	OK	 
USER	Obtene todos los perros	89	END	1683748229920	1683748231008
REQUEST	99		Obtener_Todos_Los_Perros	1683748230749	1683748231054	OK	 
USER	Obtene todos los perros	99	END	1683748230748	1683748231055
USER	Obtene todos los perros	103	START	1683748231076	1683748231076
REQUEST	100		Obtener_Todos_Los_Perros	1683748230829	1683748231133	OK	 
USER	Obtene todos los perros	100	END	1683748230828	1683748231134
USER	Obtene todos los perros	104	START	1683748231160	1683748231160
USER	Obtene todos los perros	105	START	1683748231227	1683748231227
REQUEST	91		Obtener_Todos_Los_Perros	1683748230079	1683748231264	OK	 
USER	Obtene todos los perros	91	END	1683748230079	1683748231266
USER	Obtene todos los perros	106	START	1683748231307	1683748231307
REQUEST	103		Obtener_Todos_Los_Perros	1683748231077	1683748231376	OK	 
USER	Obtene todos los perros	103	END	1683748231076	1683748231377
USER	Obtene todos los perros	107	START	1683748231386	1683748231386
REQUEST	104		Obtener_Todos_Los_Perros	1683748231160	1683748231449	OK	 
USER	Obtene todos los perros	104	END	1683748231160	1683748231451
USER	Obtene todos los perros	108	START	1683748231470	1683748231470
USER	Obtene todos los perros	109	START	1683748231538	1683748231538
REQUEST	106		Obtener_Todos_Los_Perros	1683748231308	1683748231610	OK	 
USER	Obtene todos los perros	106	END	1683748231307	1683748231612
USER	Obtene todos los perros	110	START	1683748231617	1683748231617
REQUEST	95		Obtener_Todos_Los_Perros	1683748230409	1683748231666	OK	 
USER	Obtene todos los perros	95	END	1683748230408	1683748231668
REQUEST	107		Obtener_Todos_Los_Perros	1683748231386	1683748231681	OK	 
USER	Obtene todos los perros	107	END	1683748231386	1683748231682
USER	Obtene todos los perros	111	START	1683748231695	1683748231695
USER	Obtene todos los perros	112	START	1683748231768	1683748231768
REQUEST	108		Obtener_Todos_Los_Perros	1683748231470	1683748231774	OK	 
USER	Obtene todos los perros	108	END	1683748231470	1683748231775
USER	Obtene todos los perros	113	START	1683748231848	1683748231848
REQUEST	101		Obtener_Todos_Los_Perros	1683748230906	1683748231854	OK	 
USER	Obtene todos los perros	101	END	1683748230905	1683748231855
REQUEST	105		Obtener_Todos_Los_Perros	1683748231228	1683748231906	OK	 
USER	Obtene todos los perros	105	END	1683748231227	1683748231907
REQUEST	110		Obtener_Todos_Los_Perros	1683748231618	1683748231919	OK	 
USER	Obtene todos los perros	110	END	1683748231617	1683748231920
USER	Obtene todos los perros	114	START	1683748231928	1683748231928
USER	Obtene todos los perros	115	START	1683748232005	1683748232005
REQUEST	112		Obtener_Todos_Los_Perros	1683748231769	1683748232080	OK	 
USER	Obtene todos los perros	112	END	1683748231768	1683748232081
USER	Obtene todos los perros	116	START	1683748232087	1683748232087
REQUEST	102		Obtener_Todos_Los_Perros	1683748230997	1683748232123	OK	 
USER	Obtene todos los perros	102	END	1683748230996	1683748232124
USER	Obtene todos los perros	117	START	1683748232166	1683748232166
REQUEST	114		Obtener_Todos_Los_Perros	1683748231929	1683748232205	OK	 
USER	Obtene todos los perros	114	END	1683748231928	1683748232206
USER	Obtene todos los perros	118	START	1683748232255	1683748232255
REQUEST	115		Obtener_Todos_Los_Perros	1683748232005	1683748232297	OK	 
USER	Obtene todos los perros	115	END	1683748232005	1683748232298
USER	Obtene todos los perros	119	START	1683748232336	1683748232336
REQUEST	116		Obtener_Todos_Los_Perros	1683748232088	1683748232388	OK	 
USER	Obtene todos los perros	116	END	1683748232087	1683748232389
USER	Obtene todos los perros	120	START	1683748232417	1683748232417
USER	Obtene todos los perros	121	START	1683748232506	1683748232506
REQUEST	118		Obtener_Todos_Los_Perros	1683748232255	1683748232567	OK	 
USER	Obtene todos los perros	118	END	1683748232255	1683748232568
USER	Obtene todos los perros	122	START	1683748232589	1683748232589
REQUEST	111		Obtener_Todos_Los_Perros	1683748231696	1683748232636	OK	 
USER	Obtene todos los perros	111	END	1683748231695	1683748232636
USER	Obtene todos los perros	123	START	1683748232666	1683748232666
REQUEST	109		Obtener_Todos_Los_Perros	1683748231539	1683748232685	OK	 
USER	Obtene todos los perros	109	END	1683748231538	1683748232686
REQUEST	120		Obtener_Todos_Los_Perros	1683748232418	1683748232695	OK	 
USER	Obtene todos los perros	120	END	1683748232417	1683748232696
USER	Obtene todos los perros	124	START	1683748232755	1683748232755
REQUEST	121		Obtener_Todos_Los_Perros	1683748232506	1683748232795	OK	 
USER	Obtene todos los perros	121	END	1683748232506	1683748232797
USER	Obtene todos los perros	125	START	1683748232837	1683748232837
REQUEST	122		Obtener_Todos_Los_Perros	1683748232589	1683748232916	OK	 
USER	Obtene todos los perros	126	START	1683748232917	1683748232917
USER	Obtene todos los perros	122	END	1683748232589	1683748232918
REQUEST	123		Obtener_Todos_Los_Perros	1683748232666	1683748232981	OK	 
USER	Obtene todos los perros	123	END	1683748232666	1683748232982
USER	Obtene todos los perros	127	START	1683748232996	1683748232996
REQUEST	113		Obtener_Todos_Los_Perros	1683748231849	1683748233001	OK	 
USER	Obtene todos los perros	113	END	1683748231848	1683748233002
REQUEST	124		Obtener_Todos_Los_Perros	1683748232756	1683748233059	OK	 
USER	Obtene todos los perros	124	END	1683748232755	1683748233060
USER	Obtene todos los perros	128	START	1683748233080	1683748233080
REQUEST	125		Obtener_Todos_Los_Perros	1683748232838	1683748233145	OK	 
USER	Obtene todos los perros	125	END	1683748232837	1683748233146
USER	Obtene todos los perros	129	START	1683748233159	1683748233159
REQUEST	119		Obtener_Todos_Los_Perros	1683748232336	1683748233187	OK	 
USER	Obtene todos los perros	119	END	1683748232336	1683748233188
REQUEST	126		Obtener_Todos_Los_Perros	1683748232917	1683748233202	OK	 
USER	Obtene todos los perros	126	END	1683748232917	1683748233204
USER	Obtene todos los perros	130	START	1683748233228	1683748233228
USER	Obtene todos los perros	131	START	1683748233308	1683748233308
REQUEST	128		Obtener_Todos_Los_Perros	1683748233080	1683748233378	OK	 
USER	Obtene todos los perros	128	END	1683748233080	1683748233379
USER	Obtene todos los perros	132	START	1683748233385	1683748233385
USER	Obtene todos los perros	133	START	1683748233459	1683748233459
REQUEST	117		Obtener_Todos_Los_Perros	1683748232167	1683748233482	OK	 
USER	Obtene todos los perros	117	END	1683748232166	1683748233483
USER	Obtene todos los perros	134	START	1683748233536	1683748233536
USER	Obtene todos los perros	135	START	1683748233620	1683748233620
REQUEST	132		Obtener_Todos_Los_Perros	1683748233385	1683748233679	OK	 
USER	Obtene todos los perros	132	END	1683748233385	1683748233680
USER	Obtene todos los perros	136	START	1683748233690	1683748233690
USER	Obtene todos los perros	137	START	1683748233768	1683748233768
REQUEST	134		Obtener_Todos_Los_Perros	1683748233537	1683748233824	OK	 
USER	Obtene todos los perros	134	END	1683748233536	1683748233825
USER	Obtene todos los perros	138	START	1683748233846	1683748233846
USER	Obtene todos los perros	139	START	1683748233925	1683748233925
REQUEST	135		Obtener_Todos_Los_Perros	1683748233621	1683748233938	OK	 
USER	Obtene todos los perros	135	END	1683748233620	1683748233939
REQUEST	136		Obtener_Todos_Los_Perros	1683748233690	1683748233978	OK	 
USER	Obtene todos los perros	136	END	1683748233690	1683748233979
USER	Obtene todos los perros	140	START	1683748234009	1683748234009
REQUEST	127		Obtener_Todos_Los_Perros	1683748232996	1683748234022	OK	 
USER	Obtene todos los perros	127	END	1683748232996	1683748234023
USER	Obtene todos los perros	141	START	1683748234089	1683748234089
REQUEST	138		Obtener_Todos_Los_Perros	1683748233847	1683748234143	OK	 
USER	Obtene todos los perros	138	END	1683748233846	1683748234145
REQUEST	131		Obtener_Todos_Los_Perros	1683748233308	1683748234160	OK	 
USER	Obtene todos los perros	131	END	1683748233308	1683748234161
USER	Obtene todos los perros	142	START	1683748234180	1683748234180
REQUEST	139		Obtener_Todos_Los_Perros	1683748233925	1683748234215	OK	 
USER	Obtene todos los perros	139	END	1683748233925	1683748234216
USER	Obtene todos los perros	143	START	1683748234258	1683748234258
REQUEST	129		Obtener_Todos_Los_Perros	1683748233159	1683748234290	OK	 
USER	Obtene todos los perros	129	END	1683748233159	1683748234291
REQUEST	133		Obtener_Todos_Los_Perros	1683748233459	1683748234323	OK	 
USER	Obtene todos los perros	133	END	1683748233459	1683748234324
USER	Obtene todos los perros	144	START	1683748234337	1683748234337
USER	Obtene todos los perros	145	START	1683748234426	1683748234426
REQUEST	141		Obtener_Todos_Los_Perros	1683748234090	1683748234434	OK	 
USER	Obtene todos los perros	141	END	1683748234089	1683748234435
REQUEST	130		Obtener_Todos_Los_Perros	1683748233228	1683748234451	OK	 
