RUN	scala.simulations.simulation_1	simulation-1	1683748362663	 	3.3.1
USER	Obtene todos los perros	53	START	1683748363880	1683748363880
USER	Obtene todos los perros	54	START	1683748363880	1683748363880
USER	Obtene todos los perros	55	START	1683748363880	1683748363880
USER	Obtene todos los perros	56	START	1683748363880	1683748363880
USER	Obtene todos los perros	57	START	1683748363880	1683748363880
USER	Obtene todos los perros	58	START	1683748363880	1683748363880
USER	Obtene todos los perros	59	START	1683748363881	1683748363881
USER	Obtene todos los perros	62	START	1683748363881	1683748363881
USER	Obtene todos los perros	60	START	1683748363881	1683748363881
USER	Obtene todos los perros	61	START	1683748363881	1683748363881
USER	Obtene todos los perros	63	START	1683748363881	1683748363881
USER	Obtene todos los perros	64	START	1683748363881	1683748363881
USER	Obtene todos los perros	65	START	1683748363881	1683748363881
USER	Obtene todos los perros	66	START	1683748363881	1683748363881
USER	Obtene todos los perros	67	START	1683748363881	1683748363881
USER	Obtene todos los perros	68	START	1683748363881	1683748363881
USER	Obtene todos los perros	70	START	1683748363881	1683748363881
USER	Obtene todos los perros	69	START	1683748363881	1683748363881
USER	Obtene todos los perros	73	START	1683748363881	1683748363881
USER	Obtene todos los perros	72	START	1683748363881	1683748363881
USER	Obtene todos los perros	71	START	1683748363881	1683748363881
USER	Obtene todos los perros	74	START	1683748363881	1683748363881
USER	Obtene todos los perros	75	START	1683748363881	1683748363881
USER	Obtene todos los perros	76	START	1683748363881	1683748363881
USER	Obtene todos los perros	78	START	1683748363881	1683748363881
USER	Obtene todos los perros	77	START	1683748363881	1683748363881
USER	Obtene todos los perros	81	START	1683748363882	1683748363882
USER	Obtene todos los perros	82	START	1683748363882	1683748363882
USER	Obtene todos los perros	79	START	1683748363882	1683748363882
USER	Obtene todos los perros	80	START	1683748363882	1683748363882
USER	Obtene todos los perros	83	START	1683748363882	1683748363882
USER	Obtene todos los perros	84	START	1683748363882	1683748363882
USER	Obtene todos los perros	86	START	1683748363882	1683748363882
USER	Obtene todos los perros	85	START	1683748363882	1683748363882
USER	Obtene todos los perros	87	START	1683748363882	1683748363882
USER	Obtene todos los perros	88	START	1683748363882	1683748363882
USER	Obtene todos los perros	89	START	1683748363882	1683748363882
USER	Obtene todos los perros	90	START	1683748363882	1683748363882
USER	Obtene todos los perros	91	START	1683748363882	1683748363882
USER	Obtene todos los perros	92	START	1683748363882	1683748363882
USER	Obtene todos los perros	93	START	1683748363882	1683748363882
USER	Obtene todos los perros	94	START	1683748363882	1683748363882
USER	Obtene todos los perros	95	START	1683748363882	1683748363882
USER	Obtene todos los perros	96	START	1683748363882	1683748363882
USER	Obtene todos los perros	97	START	1683748363882	1683748363882
USER	Obtene todos los perros	99	START	1683748363882	1683748363882
USER	Obtene todos los perros	102	START	1683748363882	1683748363882
USER	Obtene todos los perros	101	START	1683748363882	1683748363882
USER	Obtene todos los perros	98	START	1683748363882	1683748363882
USER	Obtene todos los perros	100	START	1683748363882	1683748363882
USER	Obtene todos los perros	104	START	1683748363883	1683748363883
USER	Obtene todos los perros	103	START	1683748363883	1683748363883
USER	Obtene todos los perros	105	START	1683748363883	1683748363883
USER	Obtene todos los perros	109	START	1683748363883	1683748363883
USER	Obtene todos los perros	107	START	1683748363883	1683748363883
USER	Obtene todos los perros	108	START	1683748363883	1683748363883
USER	Obtene todos los perros	106	START	1683748363883	1683748363883
USER	Obtene todos los perros	110	START	1683748363883	1683748363883
USER	Obtene todos los perros	112	START	1683748363883	1683748363883
USER	Obtene todos los perros	111	START	1683748363883	1683748363883
USER	Obtene todos los perros	113	START	1683748363883	1683748363883
USER	Obtene todos los perros	114	START	1683748363883	1683748363883
USER	Obtene todos los perros	115	START	1683748363883	1683748363883
USER	Obtene todos los perros	116	START	1683748363883	1683748363883
USER	Obtene todos los perros	117	START	1683748363883	1683748363883
USER	Obtene todos los perros	118	START	1683748363883	1683748363883
USER	Obtene todos los perros	119	START	1683748363883	1683748363883
USER	Obtene todos los perros	120	START	1683748363883	1683748363883
USER	Obtene todos los perros	122	START	1683748363883	1683748363883
USER	Obtene todos los perros	121	START	1683748363883	1683748363883
USER	Obtene todos los perros	123	START	1683748363884	1683748363884
USER	Obtene todos los perros	124	START	1683748363884	1683748363884
USER	Obtene todos los perros	126	START	1683748363884	1683748363884
USER	Obtene todos los perros	125	START	1683748363884	1683748363884
USER	Obtene todos los perros	128	START	1683748363884	1683748363884
USER	Obtene todos los perros	127	START	1683748363884	1683748363884
USER	Obtene todos los perros	129	START	1683748363884	1683748363884
USER	Obtene todos los perros	130	START	1683748363884	1683748363884
USER	Obtene todos los perros	131	START	1683748363884	1683748363884
USER	Obtene todos los perros	132	START	1683748363884	1683748363884
USER	Obtene todos los perros	134	START	1683748363884	1683748363884
USER	Obtene todos los perros	133	START	1683748363884	1683748363884
USER	Obtene todos los perros	136	START	1683748363884	1683748363884
USER	Obtene todos los perros	135	START	1683748363884	1683748363884
USER	Obtene todos los perros	138	START	1683748363884	1683748363884
USER	Obtene todos los perros	137	START	1683748363884	1683748363884
USER	Obtene todos los perros	139	START	1683748363884	1683748363884
USER	Obtene todos los perros	140	START	1683748363884	1683748363884
USER	Obtene todos los perros	142	START	1683748363884	1683748363884
USER	Obtene todos los perros	141	START	1683748363884	1683748363884
USER	Obtene todos los perros	144	START	1683748363884	1683748363884
USER	Obtene todos los perros	143	START	1683748363884	1683748363884
USER	Obtene todos los perros	145	START	1683748363884	1683748363884
USER	Obtene todos los perros	146	START	1683748363884	1683748363884
USER	Obtene todos los perros	147	START	1683748363885	1683748363885
USER	Obtene todos los perros	148	START	1683748363885	1683748363885
USER	Obtene todos los perros	149	START	1683748363885	1683748363885
USER	Obtene todos los perros	150	START	1683748363885	1683748363885
USER	Obtene todos los perros	152	START	1683748363885	1683748363885
USER	Obtene todos los perros	151	START	1683748363885	1683748363885
USER	Obtene todos los perros	154	START	1683748363885	1683748363885
USER	Obtene todos los perros	153	START	1683748363885	1683748363885
USER	Obtene todos los perros	156	START	1683748363885	1683748363885
USER	Obtene todos los perros	155	START	1683748363885	1683748363885
USER	Obtene todos los perros	158	START	1683748363885	1683748363885
USER	Obtene todos los perros	157	START	1683748363885	1683748363885
USER	Obtene todos los perros	160	START	1683748363885	1683748363885
USER	Obtene todos los perros	159	START	1683748363885	1683748363885
USER	Obtene todos los perros	162	START	1683748363885	1683748363885
USER	Obtene todos los perros	161	START	1683748363885	1683748363885
USER	Obtene todos los perros	163	START	1683748363885	1683748363885
USER	Obtene todos los perros	164	START	1683748363885	1683748363885
USER	Obtene todos los perros	166	START	1683748363885	1683748363885
USER	Obtene todos los perros	165	START	1683748363885	1683748363885
USER	Obtene todos los perros	167	START	1683748363885	1683748363885
USER	Obtene todos los perros	168	START	1683748363885	1683748363885
USER	Obtene todos los perros	169	START	1683748363886	1683748363886
USER	Obtene todos los perros	170	START	1683748363886	1683748363886
USER	Obtene todos los perros	171	START	1683748363886	1683748363886
USER	Obtene todos los perros	172	START	1683748363886	1683748363886
USER	Obtene todos los perros	174	START	1683748363886	1683748363886
USER	Obtene todos los perros	175	START	1683748363886	1683748363886
USER	Obtene todos los perros	176	START	1683748363886	1683748363886
USER	Obtene todos los perros	173	START	1683748363886	1683748363886
USER	Obtene todos los perros	178	START	1683748363886	1683748363886
USER	Obtene todos los perros	177	START	1683748363886	1683748363886
USER	Obtene todos los perros	179	START	1683748363886	1683748363886
USER	Obtene todos los perros	180	START	1683748363886	1683748363886
USER	Obtene todos los perros	181	START	1683748363886	1683748363886
USER	Obtene todos los perros	183	START	1683748363886	1683748363886
USER	Obtene todos los perros	182	START	1683748363886	1683748363886
USER	Obtene todos los perros	184	START	1683748363886	1683748363886
USER	Obtene todos los perros	185	START	1683748363886	1683748363886
USER	Obtene todos los perros	186	START	1683748363886	1683748363886
USER	Obtene todos los perros	188	START	1683748363886	1683748363886
USER	Obtene todos los perros	187	START	1683748363886	1683748363886
USER	Obtene todos los perros	189	START	1683748363886	1683748363886
USER	Obtene todos los perros	191	START	1683748363886	1683748363886
USER	Obtene todos los perros	190	START	1683748363886	1683748363886
USER	Obtene todos los perros	192	START	1683748363887	1683748363887
USER	Obtene todos los perros	193	START	1683748363887	1683748363887
USER	Obtene todos los perros	194	START	1683748363887	1683748363887
USER	Obtene todos los perros	196	START	1683748363887	1683748363887
USER	Obtene todos los perros	195	START	1683748363887	1683748363887
USER	Obtene todos los perros	197	START	1683748363887	1683748363887
USER	Obtene todos los perros	198	START	1683748363887	1683748363887
USER	Obtene todos los perros	199	START	1683748363887	1683748363887
USER	Obtene todos los perros	200	START	1683748363887	1683748363887
USER	Obtene todos los perros	202	START	1683748363887	1683748363887
USER	Obtene todos los perros	201	START	1683748363887	1683748363887
USER	Obtene todos los perros	203	START	1683748363887	1683748363887
USER	Obtene todos los perros	204	START	1683748363887	1683748363887
USER	Obtene todos los perros	205	START	1683748363887	1683748363887
USER	Obtene todos los perros	206	START	1683748363887	1683748363887
USER	Obtene todos los perros	207	START	1683748363887	1683748363887
USER	Obtene todos los perros	208	START	1683748363887	1683748363887
USER	Obtene todos los perros	210	START	1683748363887	1683748363887
USER	Obtene todos los perros	209	START	1683748363887	1683748363887
USER	Obtene todos los perros	212	START	1683748363887	1683748363887
USER	Obtene todos los perros	211	START	1683748363887	1683748363887
USER	Obtene todos los perros	213	START	1683748363887	1683748363887
USER	Obtene todos los perros	215	START	1683748363888	1683748363888
USER	Obtene todos los perros	214	START	1683748363887	1683748363887
USER	Obtene todos los perros	216	START	1683748363888	1683748363888
USER	Obtene todos los perros	218	START	1683748363888	1683748363888
USER	Obtene todos los perros	217	START	1683748363888	1683748363888
USER	Obtene todos los perros	219	START	1683748363888	1683748363888
USER	Obtene todos los perros	220	START	1683748363888	1683748363888
USER	Obtene todos los perros	221	START	1683748363888	1683748363888
USER	Obtene todos los perros	223	START	1683748363888	1683748363888
USER	Obtene todos los perros	222	START	1683748363888	1683748363888
USER	Obtene todos los perros	226	START	1683748363888	1683748363888
USER	Obtene todos los perros	225	START	1683748363888	1683748363888
USER	Obtene todos los perros	227	START	1683748363888	1683748363888
USER	Obtene todos los perros	228	START	1683748363888	1683748363888
USER	Obtene todos los perros	224	START	1683748363888	1683748363888
USER	Obtene todos los perros	229	START	1683748363888	1683748363888
USER	Obtene todos los perros	231	START	1683748363888	1683748363888
USER	Obtene todos los perros	230	START	1683748363888	1683748363888
USER	Obtene todos los perros	232	START	1683748363888	1683748363888
USER	Obtene todos los perros	233	START	1683748363888	1683748363888
USER	Obtene todos los perros	235	START	1683748363889	1683748363889
USER	Obtene todos los perros	234	START	1683748363889	1683748363889
USER	Obtene todos los perros	236	START	1683748363889	1683748363889
USER	Obtene todos los perros	238	START	1683748363889	1683748363889
USER	Obtene todos los perros	239	START	1683748363889	1683748363889
USER	Obtene todos los perros	237	START	1683748363889	1683748363889
USER	Obtene todos los perros	241	START	1683748363889	1683748363889
USER	Obtene todos los perros	240	START	1683748363889	1683748363889
USER	Obtene todos los perros	242	START	1683748363889	1683748363889
USER	Obtene todos los perros	243	START	1683748363889	1683748363889
USER	Obtene todos los perros	244	START	1683748363889	1683748363889
USER	Obtene todos los perros	245	START	1683748363889	1683748363889
USER	Obtene todos los perros	246	START	1683748363889	1683748363889
USER	Obtene todos los perros	247	START	1683748363889	1683748363889
USER	Obtene todos los perros	249	START	1683748363889	1683748363889
USER	Obtene todos los perros	248	START	1683748363889	1683748363889
USER	Obtene todos los perros	251	START	1683748363889	1683748363889
USER	Obtene todos los perros	250	START	1683748363889	1683748363889
USER	Obtene todos los perros	252	START	1683748363889	1683748363889
USER	Obtene todos los perros	254	START	1683748363889	1683748363889
USER	Obtene todos los perros	253	START	1683748363889	1683748363889
USER	Obtene todos los perros	255	START	1683748363890	1683748363890
USER	Obtene todos los perros	257	START	1683748363890	1683748363890
USER	Obtene todos los perros	256	START	1683748363890	1683748363890
USER	Obtene todos los perros	259	START	1683748363890	1683748363890
USER	Obtene todos los perros	258	START	1683748363890	1683748363890
USER	Obtene todos los perros	260	START	1683748363890	1683748363890
USER	Obtene todos los perros	261	START	1683748363890	1683748363890
USER	Obtene todos los perros	262	START	1683748363890	1683748363890
USER	Obtene todos los perros	263	START	1683748363890	1683748363890
USER	Obtene todos los perros	265	START	1683748363890	1683748363890
USER	Obtene todos los perros	264	START	1683748363890	1683748363890
USER	Obtene todos los perros	266	START	1683748363890	1683748363890
USER	Obtene todos los perros	267	START	1683748363890	1683748363890
USER	Obtene todos los perros	268	START	1683748363890	1683748363890
USER	Obtene todos los perros	270	START	1683748363890	1683748363890
USER	Obtene todos los perros	269	START	1683748363890	1683748363890
USER	Obtene todos los perros	271	START	1683748363890	1683748363890
USER	Obtene todos los perros	273	START	1683748363890	1683748363890
USER	Obtene todos los perros	272	START	1683748363890	1683748363890
USER	Obtene todos los perros	275	START	1683748363890	1683748363890
USER	Obtene todos los perros	274	START	1683748363890	1683748363890
USER	Obtene todos los perros	276	START	1683748363890	1683748363890
USER	Obtene todos los perros	277	START	1683748363891	1683748363891
USER	Obtene todos los perros	278	START	1683748363891	1683748363891
USER	Obtene todos los perros	279	START	1683748363891	1683748363891
USER	Obtene todos los perros	280	START	1683748363891	1683748363891
USER	Obtene todos los perros	281	START	1683748363891	1683748363891
USER	Obtene todos los perros	283	START	1683748363891	1683748363891
USER	Obtene todos los perros	282	START	1683748363891	1683748363891
USER	Obtene todos los perros	284	START	1683748363891	1683748363891
USER	Obtene todos los perros	286	START	1683748363891	1683748363891
USER	Obtene todos los perros	285	START	1683748363891	1683748363891
USER	Obtene todos los perros	289	START	1683748363891	1683748363891
USER	Obtene todos los perros	288	START	1683748363891	1683748363891
USER	Obtene todos los perros	287	START	1683748363891	1683748363891
USER	Obtene todos los perros	290	START	1683748363891	1683748363891
USER	Obtene todos los perros	291	START	1683748363891	1683748363891
USER	Obtene todos los perros	292	START	1683748363891	1683748363891
USER	Obtene todos los perros	293	START	1683748363891	1683748363891
USER	Obtene todos los perros	294	START	1683748363891	1683748363891
USER	Obtene todos los perros	296	START	1683748363891	1683748363891
USER	Obtene todos los perros	295	START	1683748363891	1683748363891
USER	Obtene todos los perros	299	START	1683748363891	1683748363891
USER	Obtene todos los perros	298	START	1683748363891	1683748363891
USER	Obtene todos los perros	297	START	1683748363891	1683748363891
USER	Obtene todos los perros	300	START	1683748363892	1683748363892
USER	Obtene todos los perros	302	START	1683748363892	1683748363892
USER	Obtene todos los perros	301	START	1683748363892	1683748363892
USER	Obtene todos los perros	303	START	1683748363892	1683748363892
USER	Obtene todos los perros	306	START	1683748363892	1683748363892
USER	Obtene todos los perros	305	START	1683748363892	1683748363892
USER	Obtene todos los perros	307	START	1683748363892	1683748363892
USER	Obtene todos los perros	304	START	1683748363892	1683748363892
USER	Obtene todos los perros	309	START	1683748363892	1683748363892
USER	Obtene todos los perros	308	START	1683748363892	1683748363892
USER	Obtene todos los perros	310	START	1683748363892	1683748363892
USER	Obtene todos los perros	311	START	1683748363892	1683748363892
USER	Obtene todos los perros	312	START	1683748363892	1683748363892
USER	Obtene todos los perros	313	START	1683748363892	1683748363892
USER	Obtene todos los perros	314	START	1683748363892	1683748363892
USER	Obtene todos los perros	315	START	1683748363892	1683748363892
USER	Obtene todos los perros	316	START	1683748363892	1683748363892
USER	Obtene todos los perros	318	START	1683748363893	1683748363893
USER	Obtene todos los perros	317	START	1683748363893	1683748363893
USER	Obtene todos los perros	319	START	1683748363893	1683748363893
USER	Obtene todos los perros	321	START	1683748363893	1683748363893
USER	Obtene todos los perros	320	START	1683748363893	1683748363893
USER	Obtene todos los perros	322	START	1683748363893	1683748363893
USER	Obtene todos los perros	323	START	1683748363893	1683748363893
USER	Obtene todos los perros	324	START	1683748363893	1683748363893
USER	Obtene todos los perros	325	START	1683748363893	1683748363893
USER	Obtene todos los perros	326	START	1683748363893	1683748363893
USER	Obtene todos los perros	327	START	1683748363893	1683748363893
USER	Obtene todos los perros	330	START	1683748363893	1683748363893
USER	Obtene todos los perros	331	START	1683748363893	1683748363893
USER	Obtene todos los perros	328	START	1683748363893	1683748363893
USER	Obtene todos los perros	332	START	1683748363893	1683748363893
USER	Obtene todos los perros	334	START	1683748363893	1683748363893
USER	Obtene todos los perros	333	START	1683748363893	1683748363893
USER	Obtene todos los perros	335	START	1683748363893	1683748363893
USER	Obtene todos los perros	336	START	1683748363893	1683748363893
USER	Obtene todos los perros	337	START	1683748363894	1683748363894
USER	Obtene todos los perros	338	START	1683748363894	1683748363894
USER	Obtene todos los perros	339	START	1683748363894	1683748363894
USER	Obtene todos los perros	340	START	1683748363894	1683748363894
USER	Obtene todos los perros	341	START	1683748363894	1683748363894
USER	Obtene todos los perros	342	START	1683748363894	1683748363894
USER	Obtene todos los perros	343	START	1683748363894	1683748363894
USER	Obtene todos los perros	345	START	1683748363894	1683748363894
USER	Obtene todos los perros	344	START	1683748363894	1683748363894
USER	Obtene todos los perros	346	START	1683748363894	1683748363894
USER	Obtene todos los perros	347	START	1683748363894	1683748363894
USER	Obtene todos los perros	348	START	1683748363894	1683748363894
USER	Obtene todos los perros	349	START	1683748363894	1683748363894
USER	Obtene todos los perros	350	START	1683748363894	1683748363894
USER	Obtene todos los perros	351	START	1683748363894	1683748363894
USER	Obtene todos los perros	353	START	1683748363894	1683748363894
USER	Obtene todos los perros	355	START	1683748363894	1683748363894
USER	Obtene todos los perros	354	START	1683748363894	1683748363894
USER	Obtene todos los perros	21	START	1683748363797	1683748363797
USER	Obtene todos los perros	356	START	1683748363895	1683748363895
USER	Obtene todos los perros	357	START	1683748363895	1683748363895
USER	Obtene todos los perros	358	START	1683748363895	1683748363895
USER	Obtene todos los perros	359	START	1683748363895	1683748363895
USER	Obtene todos los perros	360	START	1683748363895	1683748363895
USER	Obtene todos los perros	361	START	1683748363895	1683748363895
USER	Obtene todos los perros	362	START	1683748363895	1683748363895
USER	Obtene todos los perros	363	START	1683748363895	1683748363895
USER	Obtene todos los perros	364	START	1683748363895	1683748363895
USER	Obtene todos los perros	366	START	1683748363895	1683748363895
USER	Obtene todos los perros	365	START	1683748363895	1683748363895
USER	Obtene todos los perros	367	START	1683748363895	1683748363895
USER	Obtene todos los perros	370	START	1683748363895	1683748363895
USER	Obtene todos los perros	368	START	1683748363895	1683748363895
USER	Obtene todos los perros	371	START	1683748363895	1683748363895
USER	Obtene todos los perros	372	START	1683748363896	1683748363896
USER	Obtene todos los perros	373	START	1683748363896	1683748363896
USER	Obtene todos los perros	375	START	1683748363896	1683748363896
USER	Obtene todos los perros	376	START	1683748363896	1683748363896
USER	Obtene todos los perros	374	START	1683748363896	1683748363896
USER	Obtene todos los perros	377	START	1683748363896	1683748363896
USER	Obtene todos los perros	369	START	1683748363895	1683748363895
USER	Obtene todos los perros	378	START	1683748363896	1683748363896
USER	Obtene todos los perros	379	START	1683748363896	1683748363896
USER	Obtene todos los perros	380	START	1683748363896	1683748363896
USER	Obtene todos los perros	381	START	1683748363896	1683748363896
USER	Obtene todos los perros	382	START	1683748363896	1683748363896
USER	Obtene todos los perros	383	START	1683748363896	1683748363896
USER	Obtene todos los perros	384	START	1683748363896	1683748363896
USER	Obtene todos los perros	385	START	1683748363896	1683748363896
USER	Obtene todos los perros	386	START	1683748363896	1683748363896
USER	Obtene todos los perros	387	START	1683748363897	1683748363897
USER	Obtene todos los perros	388	START	1683748363897	1683748363897
USER	Obtene todos los perros	389	START	1683748363897	1683748363897
USER	Obtene todos los perros	390	START	1683748363897	1683748363897
USER	Obtene todos los perros	391	START	1683748363897	1683748363897
USER	Obtene todos los perros	393	START	1683748363897	1683748363897
USER	Obtene todos los perros	392	START	1683748363897	1683748363897
USER	Obtene todos los perros	394	START	1683748363897	1683748363897
USER	Obtene todos los perros	20	START	1683748363797	1683748363797
USER	Obtene todos los perros	395	START	1683748363897	1683748363897
USER	Obtene todos los perros	396	START	1683748363897	1683748363897
USER	Obtene todos los perros	397	START	1683748363897	1683748363897
USER	Obtene todos los perros	400	START	1683748363897	1683748363897
USER	Obtene todos los perros	399	START	1683748363897	1683748363897
USER	Obtene todos los perros	401	START	1683748363897	1683748363897
USER	Obtene todos los perros	402	START	1683748363897	1683748363897
USER	Obtene todos los perros	398	START	1683748363897	1683748363897
USER	Obtene todos los perros	403	START	1683748363898	1683748363898
USER	Obtene todos los perros	405	START	1683748363898	1683748363898
USER	Obtene todos los perros	404	START	1683748363898	1683748363898
USER	Obtene todos los perros	406	START	1683748363898	1683748363898
USER	Obtene todos los perros	407	START	1683748363898	1683748363898
USER	Obtene todos los perros	408	START	1683748363898	1683748363898
USER	Obtene todos los perros	409	START	1683748363898	1683748363898
USER	Obtene todos los perros	410	START	1683748363898	1683748363898
USER	Obtene todos los perros	412	START	1683748363898	1683748363898
USER	Obtene todos los perros	413	START	1683748363898	1683748363898
USER	Obtene todos los perros	411	START	1683748363898	1683748363898
USER	Obtene todos los perros	414	START	1683748363898	1683748363898
USER	Obtene todos los perros	415	START	1683748363898	1683748363898
USER	Obtene todos los perros	416	START	1683748363898	1683748363898
USER	Obtene todos los perros	417	START	1683748363898	1683748363898
USER	Obtene todos los perros	418	START	1683748363898	1683748363898
USER	Obtene todos los perros	420	START	1683748363898	1683748363898
USER	Obtene todos los perros	419	START	1683748363898	1683748363898
USER	Obtene todos los perros	421	START	1683748363898	1683748363898
USER	Obtene todos los perros	422	START	1683748363898	1683748363898
USER	Obtene todos los perros	424	START	1683748363899	1683748363899
USER	Obtene todos los perros	423	START	1683748363898	1683748363898
USER	Obtene todos los perros	425	START	1683748363899	1683748363899
USER	Obtene todos los perros	427	START	1683748363899	1683748363899
USER	Obtene todos los perros	426	START	1683748363899	1683748363899
USER	Obtene todos los perros	429	START	1683748363899	1683748363899
USER	Obtene todos los perros	428	START	1683748363899	1683748363899
USER	Obtene todos los perros	430	START	1683748363899	1683748363899
USER	Obtene todos los perros	432	START	1683748363899	1683748363899
USER	Obtene todos los perros	431	START	1683748363899	1683748363899
USER	Obtene todos los perros	433	START	1683748363899	1683748363899
USER	Obtene todos los perros	434	START	1683748363899	1683748363899
USER	Obtene todos los perros	435	START	1683748363899	1683748363899
USER	Obtene todos los perros	437	START	1683748363899	1683748363899
USER	Obtene todos los perros	436	START	1683748363899	1683748363899
USER	Obtene todos los perros	438	START	1683748363899	1683748363899
USER	Obtene todos los perros	439	START	1683748363899	1683748363899
USER	Obtene todos los perros	443	START	1683748363900	1683748363900
USER	Obtene todos los perros	442	START	1683748363900	1683748363900
USER	Obtene todos los perros	445	START	1683748363900	1683748363900
USER	Obtene todos los perros	444	START	1683748363900	1683748363900
USER	Obtene todos los perros	446	START	1683748363900	1683748363900
USER	Obtene todos los perros	447	START	1683748363900	1683748363900
USER	Obtene todos los perros	449	START	1683748363900	1683748363900
USER	Obtene todos los perros	448	START	1683748363900	1683748363900
USER	Obtene todos los perros	450	START	1683748363900	1683748363900
USER	Obtene todos los perros	451	START	1683748363900	1683748363900
USER	Obtene todos los perros	452	START	1683748363900	1683748363900
USER	Obtene todos los perros	453	START	1683748363900	1683748363900
USER	Obtene todos los perros	440	START	1683748363899	1683748363899
USER	Obtene todos los perros	455	START	1683748363900	1683748363900
USER	Obtene todos los perros	454	START	1683748363900	1683748363900
USER	Obtene todos los perros	456	START	1683748363900	1683748363900
USER	Obtene todos los perros	457	START	1683748363900	1683748363900
USER	Obtene todos los perros	458	START	1683748363901	1683748363901
USER	Obtene todos los perros	459	START	1683748363901	1683748363901
USER	Obtene todos los perros	462	START	1683748363901	1683748363901
USER	Obtene todos los perros	3	START	1683748363784	1683748363784
USER	Obtene todos los perros	461	START	1683748363901	1683748363901
USER	Obtene todos los perros	463	START	1683748363901	1683748363901
USER	Obtene todos los perros	464	START	1683748363901	1683748363901
USER	Obtene todos los perros	465	START	1683748363901	1683748363901
USER	Obtene todos los perros	468	START	1683748363901	1683748363901
USER	Obtene todos los perros	441	START	1683748363899	1683748363899
USER	Obtene todos los perros	469	START	1683748363901	1683748363901
USER	Obtene todos los perros	470	START	1683748363901	1683748363901
USER	Obtene todos los perros	352	START	1683748363894	1683748363894
USER	Obtene todos los perros	5	START	1683748363785	1683748363785
USER	Obtene todos los perros	329	START	1683748363893	1683748363893
USER	Obtene todos los perros	474	START	1683748363902	1683748363902
USER	Obtene todos los perros	473	START	1683748363902	1683748363902
USER	Obtene todos los perros	476	START	1683748363902	1683748363902
USER	Obtene todos los perros	479	START	1683748363902	1683748363902
USER	Obtene todos los perros	475	START	1683748363902	1683748363902
USER	Obtene todos los perros	477	START	1683748363902	1683748363902
USER	Obtene todos los perros	11	START	1683748363785	1683748363785
USER	Obtene todos los perros	18	START	1683748363796	1683748363796
USER	Obtene todos los perros	22	START	1683748363797	1683748363797
USER	Obtene todos los perros	481	START	1683748363902	1683748363902
USER	Obtene todos los perros	480	START	1683748363902	1683748363902
USER	Obtene todos los perros	484	START	1683748363903	1683748363903
USER	Obtene todos los perros	486	START	1683748363903	1683748363903
USER	Obtene todos los perros	478	START	1683748363902	1683748363902
USER	Obtene todos los perros	10	START	1683748363785	1683748363785
USER	Obtene todos los perros	488	START	1683748363903	1683748363903
USER	Obtene todos los perros	489	START	1683748363903	1683748363903
USER	Obtene todos los perros	490	START	1683748363903	1683748363903
USER	Obtene todos los perros	491	START	1683748363903	1683748363903
USER	Obtene todos los perros	492	START	1683748363903	1683748363903
USER	Obtene todos los perros	493	START	1683748363903	1683748363903
USER	Obtene todos los perros	494	START	1683748363903	1683748363903
USER	Obtene todos los perros	495	START	1683748363903	1683748363903
